galaxy,redshift,pixscale,obs2phys,semimaj,axisrat,mag160,ra,dec
gal00214,2.5639999999999996,20.0,8.027195552741615,0.22,0.1,24.4727,34.4860561,-5.2711435
gal00215,1.5290000000000001,20.0,8.467394066927602,0.54,0.2,25.1768,34.524776,-5.2180557
gal00216,2.167,20.0,8.284928654544245,0.07,0.87,23.3972,34.271153399999996,-5.2181543
gal00219,1.945,20.0,8.394832033083992,0.21,0.37,25.5012,34.5481537,-5.217810299999999
gal00220,1.954,20.0,8.391085040541551,0.14,0.59,26.183000000000003,34.2986204,-5.217792500000001
gal00221,1.9480000000000002,20.0,8.393590694230664,0.18,0.44,23.5306,34.3317232,-5.218098400000001
gal00223,1.7790000000000001,20.0,8.450094706005066,0.69,0.14,25.6809,34.2531851,-5.2709188
gal00228,2.938,20.0,7.750477025775994,0.2,0.53,24.4404,34.5162611,-5.2180152
gal00230,1.9769999999999999,20.0,8.381202148085087,0.15,0.64,23.491,34.4544638,-5.271289
gal00231,1.104,20.0,8.178599979652594,0.27,0.36,25.4504,34.4875301,-5.2177935
gal00232,1.614,20.0,8.472407151692275,0.36,0.28,24.043000000000003,34.34291210000001,-5.2181370000000005
gal00233,1.16,20.0,8.250006708501695,0.26,0.57,22.7889,34.3541931,-5.2184007
gal00234,2.5380000000000003,20.0,8.045597567608633,0.45,0.43,23.5857,34.3474742,-5.2183669
gal00236,1.4269999999999998,20.0,8.442880431050394,0.52,0.19,23.4596,34.2438434,-5.2180135000000005
gal00237,1.943,20.0,8.395655306588006,0.14,0.3,26.3358,34.3880636,-5.217636799999999
gal00238,1.903,20.0,8.411379029633208,0.07,0.77,25.6665,34.4690288,-5.2176307
gal00239,2.3569999999999998,20.0,8.168693646598504,0.4,0.54,24.3137,34.483179299999996,-5.218134
gal00240,1.4909999999999999,20.0,8.46080724492738,0.38,0.55,23.2294,34.5042107,-5.2180683
gal00243,1.216,20.0,8.309216535360529,0.12,0.18,26.1982,34.322526200000006,-5.2709019
gal00244,1.12,20.0,8.20032542776514,0.55,0.32,23.1675,34.527967,-5.218251
gal00245,1.7309999999999999,20.0,8.460410365737928,0.38,0.36,23.7535,34.39194929999999,-5.2180045
gal00246,1.504,20.0,8.463384343882867,0.28,0.57,23.9296,34.4270219,-5.2179407
gal00249,1.6840000000000002,20.0,8.467607809239194,0.16,0.25,22.7606,34.53633370000001,-5.2179
gal00251,1.686,20.0,8.467363616855076,0.24,0.57,24.1942,34.3892171,-5.217829
gal00261,1.514,20.0,8.465135460249655,0.41,0.4,25.269000000000002,34.266417,-5.2174737
gal00262,1.5759999999999998,20.0,8.471738155885747,0.26,0.35,24.1579,34.4215204,-5.2176559000000005
gal00264,2.0469999999999997,20.0,8.348582140195084,0.18,0.63,25.1982,34.4577982,-5.2176035
gal00266,2.219,20.0,8.254775291967213,0.25,0.66,22.7253,34.546189700000006,-5.217882599999999
gal00268,2.209,20.0,8.260681566186497,0.08,0.46,25.5869,34.4586862,-5.2174389
gal00269,2.326,20.0,8.188712721077728,0.35,0.3,24.4358,34.5266915,-5.217599099999999
gal00272,1.8969999999999998,20.0,8.413611830811938,0.18,0.08,26.3,34.3649534,-5.2173487000000005
gal00276,2.806,20.0,7.850059490758849,0.27,0.51,23.0406,34.3997296,-5.218112400000001
gal00278,1.053,20.0,8.101773095569563,0.17,0.79,24.3128,34.575557200000006,-5.217516900000001
gal00279,2.377,20.0,8.155592034212166,0.07,0.51,24.2288,34.4000925,-5.2175306
gal00282,2.004,20.0,8.369058440680634,0.27,0.55,26.2095,34.4210718,-5.270868599999999
gal00284,2.471,20.0,8.092263704654112,0.76,0.54,22.7673,34.3334359,-5.2182455999999995
gal00286,2.042,20.0,8.35103176842234,0.22,0.16,25.4609,34.3971138,-5.2173456
gal00287,2.156,20.0,8.291123035830445,0.16,0.25,26.4888,34.314290500000006,-5.217228599999999
gal00288,2.218,20.0,8.255368141871461,0.41,0.85,23.985,34.3346432,-5.2177102
gal00289,1.643,20.0,8.471327364483615,0.08,0.32,26.3772,34.2920931,-5.217219
gal00291,1.012,20.0,8.03103181716016,0.38,0.79,24.6344,34.2919844,-5.2174133000000005
gal00293,2.721,20.0,7.913279909085944,0.45,0.67,22.4805,34.3705899,-5.217977200000001
gal00296,1.095,20.0,8.165894131858284,0.14,0.81,24.6592,34.35224829999999,-5.217350499999999
gal00297,2.1069999999999998,20.0,8.317871328750755,0.17,0.36,25.5037,34.2719769,-5.2172129
gal00298,1.4580000000000002,20.0,8.452683471335266,0.56,0.24,24.8617,34.5781306,-5.2171291
gal00299,2.176,20.0,8.279811232153838,0.26,0.56,23.6213,34.23395,-5.217675099999999
gal00305,1.155,20.0,8.244146626072698,0.44,0.43,22.4588,34.4241779,-5.2176788
gal00308,2.688,20.0,7.937568953743311,0.21,0.47,24.8705,34.3040997,-5.2172
