,Unnamed: 0,ra_1,dec_1,TYPE,g,r,z,w1,w2,rg_EXP,rg_DEV,fluxg,fluxr,fluxz,fluxw1,fluxw2,shapeexp_e1,shapeexp_e2,shapedev_e1,shapedev_e2,col1,ra_2,dec_2,redshift,weight,mass_stellar,Separation
29740,29747,12.85034902,28.02581708,DEV,20.0997592,18.27676949,17.27684865,16.50958833,17.09545174,0,4.5054154,9.122131,48.898125,122.81758,248.98012,145.15076,0,0,-0.115127094,-0.14143847,772665,12.85038,28.02582,0.46096,1,12.09867,0.099014786
30066,30073,12.99901906,15.59731662,DEV,18.61211375,17.7321486,17.08201224,17.38294644,17.94100045,0,2.7756963,35.904964,80.74963,146.95863,111.383644,66.61926,0,0,-0.30571008,0.10616739,751421,12.99905,15.59721,0.07763,1,10.42509,0.398529135
30413,30420,13.07415992,19.92056018,DEV,19.38845091,18.56049576,17.94266204,17.65674328,18.00914406,0,0.8696466,17.563847,37.653183,66.51739,86.5571,62.566574,0,0,0.19527082,0.32439533,748118,13.07416,19.92058,0.11801,1,10.4071,0.071358235
31052,31059,13.46874308,17.45547311,DEV,20.01554227,18.6064551,17.74806436,17.1793017,17.47571542,0,3.3772664,9.85787,36.092583,79.57456,134.36288,102.261894,0,0,-0.26408643,0.13441214,747905,13.46877,17.45547,0.40653,1,11.28769,0.093117131
31090,31097,13.46013976,23.31934734,DEV,19.9075476,18.11371486,17.02196808,16.16549021,16.65704308,0,4.976242,10.8888235,56.82168,155.31477,341.82507,217.36157,0,0,-0.37666115,-0.082023,748223,13.46014,23.31936,0.49783,1,12.1181,0.045599188
31953,31960,13.81782421,11.78422657,DEV,19.79086054,18.54826499,17.50925967,16.94265332,17.51471225,0,5.48824,12.124275,38.079742,99.15078,167.08546,98.65409,0,0,-0.09061551,0.007354352,745373,13.81791,11.78414,0.56331,1,12.01064,0.434203445
32575,32582,14.1434679,4.653885287,DEV,19.95688059,18.61224318,17.58868649,17.40353127,17.84639158,0,6.088299,10.405136,35.900684,92.15638,109.29178,72.68476,0,0,-0.09328007,0.6501895,667531,14.14347,4.65386,0.20647,1,11.00892,0.091345274
33213,33220,14.60788971,16.80508311,DEV,20.17404984,19.12259595,18.14572013,17.71281888,18.38606955,0,5.6324515,8.518832,22.436836,55.17114,82.20012,44.21526,0,0,0.048740823,0.20039691,736470,14.60794,16.80508,0.65097,1,11.36566,0.173678629
34807,34814,15.29127772,11.98480579,DEV,19.58014091,17.6786435,16.66504121,16.065001,16.6341063,0,6.3675346,14.721214,84.82866,215.76625,374.97266,222.0023,0,0,-0.05982169,-0.36488494,734332,15.29123,11.98487,0.42754,1,12.04915,0.285784444
35040,35047,15.26251603,-0.365012848,DEV,19.98097274,18.87329097,18.04242791,17.8087595,18.07977336,0,5.3233194,10.176792,28.228228,60.67766,75.248215,58.626053,0,0,-0.48950768,0.025357299,629773,15.26277,-0.36506,0.29971,1,11.09234,0.929900767
35230,35237,15.4498793,14.68985612,DEV,19.92057718,18.76281193,17.94873396,17.60209417,18.18942036,0,3.102384,10.758931,31.251814,66.14643,91.025345,52.99463,0,0,0.078532234,-0.07466624,735320,15.4499,14.68987,0.41483,1,11.11615,0.087699997
35638,35645,15.62302748,-1.512836601,DEV,19.72178697,18.20740851,17.25216403,16.772272,17.37033041,0,5.911386,12.920675,52.123863,125.64187,195.47499,112.68545,0,0,0.0152472,-0.12597623,700796,15.62307,-1.51283,0.47191,1,11.41758,0.154852074
